# kwatch provider catalog v1
slack|Slack|webhook|string|false|true|url||Slack webhook URL
slack|Slack|channel|string|false|false|||Override channel
slack|Slack|title|string|false|false|||Custom title
slack|Slack|text|string|false|false|||Custom text
slack|Slack|compact|boolean|false|false|boolean|false|Single-line mode
slack|Slack|token|string|false|true|||Bot token (xoxb-...)
discord|Discord|webhook|string|true|true|url||Discord webhook URL
discord|Discord|title|string|false|false|||Custom title
discord|Discord|text|string|false|false|||Custom text
email|Email|from|string|true|false|||From address
email|Email|password|string|true|true|||From password
email|Email|host|string|true|false|||SMTP host
email|Email|port|string|true|false|port||SMTP port
email|Email|to|string|true|false|||Receiver email
line|LINE|token|string|true|true|||LINE Notify access token
pagerduty|PagerDuty|integrationKey|string|true|true|||PagerDuty integration key
telegram|Telegram|token|string|true|true|||Bot token
telegram|Telegram|chatId|string|true|false|telegram-chat-id||Chat ID
teams|Teams|webhook|string|true|true|url||Webhook URL
teams|Teams|title|string|false|false|||Custom title
teams|Teams|text|string|false|false|||Custom text
rocketchat|Rocket.Chat|webhook|string|true|true|url||Webhook URL
rocketchat|Rocket.Chat|text|string|false|false|||Custom text
mattermost|Mattermost|webhook|string|true|true|url||Webhook URL
mattermost|Mattermost|title|string|false|false|||Custom title
mattermost|Mattermost|text|string|false|false|||Custom text
opsgenie|Opsgenie|apiKey|string|true|true|||API Key
opsgenie|Opsgenie|title|string|false|false|||Custom title
opsgenie|Opsgenie|text|string|false|false|||Custom text
matrix|Matrix|homeServer|string|true|false|url||HomeServer URL
matrix|Matrix|accessToken|string|true|true|||Access token
matrix|Matrix|internalRoomId|string|true|false|||Room ID
matrix|Matrix|title|string|false|false|||Custom title
matrix|Matrix|text|string|false|false|||Custom text
dingtalk|Dingtalk|accessToken|string|true|true|||Access token
dingtalk|Dingtalk|secret|string|false|true|||Signing secret
dingtalk|Dingtalk|title|string|false|false|||Custom title
feishu|Feishu|webhook|string|true|true|url||Webhook URL
feishu|Feishu|title|string|false|false|||Custom title
zenduty|Zenduty|integrationKey|string|true|true|||Integration Key
zenduty|Zenduty|alertType|string|false|false||critical|Alert type (default: critical)
googlechat|Google Chat|webhook|string|true|true|url||Webhook URL
googlechat|Google Chat|text|string|false|false|||Custom text
gotify|Gotify|url|string|true|false|url||Gotify server URL
gotify|Gotify|token|string|true|true|||App token
gotify|Gotify|priority|integer|false|false|integer||Priority (optional)
gotify|Gotify|title|string|false|false|||Custom title
ntfy|ntfy|topic|string|true|true|||Topic to publish to
ntfy|ntfy|url|string|false|false|url|https://ntfy.sh|Server URL (default: https://ntfy.sh)
ntfy|ntfy|token|string|false|true|||Optional auth token
ntfy|ntfy|priority|integer|false|false|integer|4|Priority 1-5 (default: 4)
pushover|Pushover|token|string|true|true|||Application token
pushover|Pushover|user|string|true|true|||User or group key
pushover|Pushover|priority|integer|false|false|integer||Priority (optional)
pushover|Pushover|title|string|false|false|||Custom title
webex|Webex|accessToken|string|true|true|||Bot access token
webex|Webex|roomId|string|false|false|||Room ID (optional)
webex|Webex|toPersonEmail|string|false|false|||Person email (optional)
github|GitHub|token|string|true|true|||Personal access token
github|GitHub|owner|string|true|false|||Repository owner
github|GitHub|repo|string|true|false|||Repository name
github|GitHub|url|string|false|false|url||Optional endpoint override (e.g. GitHub Enterprise)
gitlab|GitLab|token|string|true|true|||Personal access token
gitlab|GitLab|projectId|string|true|false|||Project ID
gitlab|GitLab|url|string|false|false|url||Optional endpoint override (e.g. self-hosted GitLab)
gitea|Gitea|token|string|true|true|||Access token
gitea|Gitea|owner|string|true|false|||Repository owner
gitea|Gitea|repo|string|true|false|||Repository name
gitea|Gitea|url|string|false|false|url||Optional endpoint override (e.g. self-hosted Gitea)
zapier|Zapier|url|string|true|true|url||Zap webhook URL
zapier|Zapier|token|string|false|true|||Optional token
n8n|n8n|url|string|true|true|url||Workflow webhook URL
n8n|n8n|token|string|false|true|||Optional auth header value
ifttt|IFTTT|key|string|true|true|||Webhooks key
ifttt|IFTTT|event|string|false|false||kwatch|Event name (default: kwatch)
teamsworkflow|Teams Workflow|webhook|string|true|true|url||Power Automate / Teams Workflow URL
zulip|Zulip|email|string|true|false|||Bot email
zulip|Zulip|token|string|true|true|||Bot API key
zulip|Zulip|channel|string|true|false|||Channel/stream to post to
zulip|Zulip|url|string|false|false|url|https://zulip.example.com/api/v1/messages|Server URL (default: https://zulip.example.com/api/v1/messages)
homeassistant|Home Assistant|token|string|true|true|||Long-lived access token
homeassistant|Home Assistant|url|string|false|false|url|http://localhost:8123|Server URL (default: http://localhost:8123)
homeassistant|Home Assistant|service|string|false|false||notify|Notification service (default: notify)
splunk|Splunk|url|string|true|false|url||HEC endpoint URL
splunk|Splunk|token|string|true|true|||HEC token
splunk|Splunk|source|string|false|false|||Source name (optional)
splunk|Splunk|sourcetype|string|false|false|||Source type (optional)
splunk|Splunk|index|string|false|false|||Index name (optional)
splunk|Splunk|host|string|false|false|||Host name (optional)
datadog|Datadog|apiKey|string|true|true|||API key
datadog|Datadog|site|string|false|false||datadoghq.com|Datadog site (default: datadoghq.com)
datadog|Datadog|applicationKey|string|false|true|||Optional application key
datadog|Datadog|alertType|string|false|false||error|Alert type (default: error)
datadog|Datadog|tags|list|false|false|list||Comma-separated tags
newrelic|New Relic|apiKey|string|true|true|||User API key
newrelic|New Relic|accountId|string|true|false|||Account ID
clickup|ClickUp|token|string|true|true|||Personal API token
clickup|ClickUp|listId|string|true|false|||List ID to create tasks in
clickup|ClickUp|priority|integer|false|false|integer||Optional task priority (1-4)
ilert|iLert|integrationKey|string|true|true|||Integration key
ilert|iLert|priority|integer|false|false|integer||Priority (LOW/HIGH/CRITICAL, default: HIGH)
incidentio|Incident.io|url|string|true|true|url||Incident.io URL
incidentio|Incident.io|apiKey|string|false|true|||Optional API key
squadcast|Squadcast|serviceKey|string|true|true|||Service key
signl4|SIGNL4|teamSecret|string|true|true|||Team secret
signl4|SIGNL4|title|string|false|false|||Custom title
signl4|SIGNL4|user|string|false|false|||Optional alerting user
signl4|SIGNL4|url|string|false|false|url||Optional endpoint override
twilio|Twilio|accountSid|string|true|true|||Account SID
twilio|Twilio|authToken|string|true|true|||Auth token
twilio|Twilio|from|string|true|false|||Sender phone number
twilio|Twilio|to|string|true|false|||Recipient phone number
vonage|Vonage|apiKey|string|true|true|||API key
vonage|Vonage|apiSecret|string|true|true|||API secret
vonage|Vonage|from|string|true|false|||Sender name/number
vonage|Vonage|to|string|true|false|||Recipient phone number
plivo|Plivo|authId|string|true|true|||Auth ID
plivo|Plivo|authToken|string|true|true|||Auth token
plivo|Plivo|from|string|true|false|||Sender number
plivo|Plivo|to|string|true|false|||Recipient phone number
messagebird|MessageBird|accessKey|string|true|true|||Access key
messagebird|MessageBird|from|string|true|false|||Sender number
messagebird|MessageBird|to|string|true|false|||Recipient phone number
signal|Signal|number|string|true|false|||Sender phone number
signal|Signal|to|string|true|false|||Recipient phone number
signal|Signal|url|string|false|false|url|http://localhost:8080|REST API URL (default: http://localhost:8080)
sendgrid|SendGrid|apiKey|string|true|true|||API key
sendgrid|SendGrid|from|string|true|false|||From address
sendgrid|SendGrid|to|list|true|false|list||Recipients (list of addresses)
sendgrid|SendGrid|subject|string|false|false|||Email subject
ses|SES|accessKeyId|string|true|true|||AWS access key ID
ses|SES|secretAccessKey|string|true|true|||AWS secret access key
ses|SES|region|string|false|false||us-east-1|AWS region (default: us-east-1)
ses|SES|from|string|true|false|||Verified sender address
ses|SES|to|string|true|false|||Recipients (comma-separated)
ses|SES|subject|string|false|false|||Email subject
sns|SNS|accessKeyId|string|true|true|||AWS access key ID
sns|SNS|secretAccessKey|string|true|true|||AWS secret access key
sns|SNS|region|string|false|false||us-east-1|AWS region (default: us-east-1)
sns|SNS|topicArn|string|false|false|||SNS topic ARN (or targetArn)
sns|SNS|targetArn|string|false|false|||SNS target ARN (alternative to topicArn).
sns|SNS|subject|string|false|false|||Optional subject (email subscriptions)
jira|Jira|url|string|true|false|url||Jira base URL
jira|Jira|user|string|true|false|||Email or username
jira|Jira|apiToken|string|true|true|||API token
jira|Jira|projectKey|string|true|false|||Project key
jira|Jira|issueType|string|false|false||Task|Issue type (default: Task)
wecom|WeCom|webhook|string|true|true|url||Group robot webhook URL
splunkoncall|Splunk On-Call|apiKey|string|true|true|||API key
splunkoncall|Splunk On-Call|routingKey|string|true|true|||Routing key
splunkoncall|Splunk On-Call|url|string|false|false|url||Optional endpoint override
mailgun|Mailgun|apiKey|string|true|true|||API key
mailgun|Mailgun|domain|string|true|false|||Sending domain
